Morbidity Class,E1_Macro F1,E1_Micro F1
Asthma,0.8140678799803247,0.9047619047619048
CAD,0.8707692307692307,0.8714285714285714
CHF,0.3333333333333333,0.5
Depression,0.6680565775488512,0.6982758620689655
Diabetes,0.8652406417112299,0.8714285714285714
Gallstones,0.5843749999999999,0.6607142857142857
GERD,0.6250164929410212,0.7040816326530612
Gout,0.7494949494949494,0.8387096774193549
Hypercholesterolemia,0.773903417739034,0.7790697674418605
Hypertension,0.699805068226121,0.7380952380952381
Hypertriglyceridemia,0.5324675324675324,0.8571428571428571
OA,0.6255380200860832,0.6896551724137931
Obesity,0.7853199754651401,0.7857142857142857
OSA,0.8689620591676417,0.9375
PVD,0.8621509209744502,0.9310344827586207
Venous-Insufficiency,0.6556104446012703,0.8688524590163934
Overall-Average,0.7071319715316384,0.7897790480036103
